"itaee_c","itaee_yfilt_ma","itaee_Qfilt_ma","itaee_yfilt_ma.one","itaee_Qfilt_ma.one","itaee_yfilt_ma.two","itaee_Qfilt_ma.two"
"2006Q4",3.6934613366,6.36239835920622,4.4383633991184,6.37050535162289,4.44381556333649,6.3339650978017,4.41918812101008
"2007Q1",-2.9008795388,-1.37521615102023,4.36419191098931,-1.38020506107315,4.37001967045357,-1.35765837023483,4.34361973416164
"2007Q2",1.8799193056,-2.75613533977886,4.2815476769165,-2.73688136932961,4.28538170419413,-2.82654214613601,4.26749829957895
"2007Q3",5.6324862351,4.30862151859545,4.27631510698399,4.27935126441787,4.28013380556949,4.41053227296966,4.26299278911357
"2007Q4",1.8354915012,3.11500049907621,4.22249015320901,3.09099759944631,4.22645054252214,3.20010415862931,4.20841833250289
"2008Q1",7.2132961572,4.19507137879438,4.14777536320555,4.18767791662731,4.15190352371293,4.22095435724403,4.13329104714095
"2008Q2",-0.2774104995,-5.71989090160496,4.15554895012068,-5.70159771964899,4.15935250299428,-5.78614104801935,4.14174486325985
"2008Q3",0.0211051143,-5.23611683844943,4.16498870625931,-5.28265979203359,4.16902990742714,-5.07998569916653,4.15140352113258
"2008Q4",0.024245967,-2.04856768460549,4.2643120955479,-2.05670614856133,4.26837330613955,-2.02010441109473,4.25007799262274
"2009Q1",-16.8319047479,-8.15326988196063,4.14286839631116,-8.14335171380403,4.14693206265896,-8.187753183249,4.12870879053579
"2009Q2",-19.119967341,-10.0273534375559,4.42648629178571,-10.0097552253037,4.43238807245772,-10.0885534416654,4.40590055450337
"2009Q3",-14.1845078682,-13.1178553840715,4.67607512536697,-13.117254937643,4.68221067855335,-13.1199695796467,4.65440722511803
"2009Q4",-4.971127783,-8.24002422379351,4.61195152103881,-8.21768509322625,4.61660168181043,-8.32048846934635,4.59516291165304
"2010Q1",16.1726526216,14.3507489310106,4.57623012246247,14.3856989731564,4.58039056510935,14.2248787994565,4.56121513556344
"2010Q2",20.013405335,19.113436125293,4.53762873114409,19.0852813787724,4.54215542803274,19.2121201196357,4.52172662154366
"2010Q3",11.3135287492,15.3465632265398,4.49015790770872,15.3382259993254,4.49438685258357,15.3761225010691,4.47513216706237
"2010Q4",5.1502477159,6.37013955167503,4.47226997196583,6.36884968633212,4.47607439773502,6.37465941692894,4.45891312577673
"2011Q1",7.0340453752,1.30274645109762,4.39050164042141,1.23376804551506,4.39607413443359,1.53049329914783,4.3720524300948
"2011Q2",5.4604190107,7.81875393477036,4.48026819153227,7.78680718328832,4.48548313131503,7.93332752619302,4.46151523861579
"2011Q3",6.0730998146,7.58403790049357,4.41289312484495,7.65822310962806,4.4176304256079,7.32649028293386,4.39640709005171
