"itaee_c","Q1","Q2","Q3","Q4","itaee_log","itaee_c1","itaee_c2","inpc_general_c1","desocup","ied_mxp_log","usindpro_log","pibp12mes_e","gtopgj_pc"
"2006Q4",2.8696904655,1,0,0,1,2.051834271,2.1420701937,3.8764463439,3.1536129562,3.2096959719,-1.6039381209,1.9822059332,3.7396774194,5.7974694588
"2007Q1",5.3107863793,1,0,0,0,2.0274878292,1.6762798744,2.1420701937,3.8521948696,3.3023002716,1.0850018489,1.9862640145,3.635483871,5.7887108468
"2007Q2",3.4932628957,1,1,0,0,2.0525626613,1.8592141928,1.6762798744,2.6909900931,3.393505072,2.0475236743,1.9890164937,3.5044117647,5.7867693766
"2007Q3",3.6777415043,1,0,1,0,2.0466154667,0.1950900694,1.8592141928,3.3283777509,3.9034222618,-1.4229839177,1.9905856842,3.4184848485,5.7848279064
"2007Q4",5.8493286875,1,0,0,1,2.064121704,2.8696904655,0.1950900694,4.3914075519,2.7635162516,0.5633192185,1.9912381885,3.4645454545,5.7828864363
"2008Q1",6.3610781946,1,0,0,0,2.049960685,5.3107863793,2.8696904655,3.9298009455,3.9070390219,0.6158476536,1.9952639116,3.3674193548,5.8051085948
"2008Q2",9.5729783667,1,1,0,0,2.0674747407,3.4932628957,5.3107863793,4.2762589639,4.0139094539,0.5175861949,2.0004022599,3.4309090909,5.8031671246
"2008Q3",12.9074819268,1,0,1,0,2.0623009947,3.6777415043,3.4932628957,4.275653015,3.1139166068,1.0511643009,2.0016301734,3.508125,5.8012256544
"2008Q4",-0.0469054158,1,0,0,1,2.0888098121,5.8493286875,3.6777415043,3.7756916877,3.1029201802,0.8348328476,2.0026664724,3.4925806452,5.7992841843
"2009Q1",-6.2004454333,1,0,0,0,2.0767434162,6.3610781946,5.8493286875,3.9769747016,3.3272842407,2.1952780991,2.0011658174,3.7710322581,5.8396469657
"2009Q2",-10.8418548412,1,1,0,0,2.1071782073,9.5729783667,6.3610781946,4.8171271868,3.1578031267,0.7482164624,1.9949860463,3.6216129032,5.8377054955
"2009Q3",-12.248210239,1,0,1,0,2.1150237165,12.9074819268,9.5729783667,4.9466608153,2.7570747836,2.4141633831,1.9809775837,3.3943333333,5.8357640253
"2009Q4",-3.4063976997,1,0,0,1,2.0886060566,-0.0469054158,12.9074819268,5.9107179202,4.2968105359,-0.003416269,1.9621678495,3.3303225806,5.8338225551
"2010Q1",-1.2530624894,1,0,0,0,2.0489441922,-6.2004454333,-0.0469054158,5.8360844243,5.046761182,-0.2581453697,1.9381628367,3.3909705882,5.831881085
"2010Q2",7.3887035825,1,1,0,0,2.0573392322,-10.8418548412,-6.2004454333,5.8149338735,4.5691078418,-0.2187943302,1.9255821091,3.2456,5.8299396148
"2010Q3",4.2537603242,1,0,1,0,2.0582796995,-12.248210239,-10.8418548412,5.5350528572,5.9181640907,0.0127156916,1.9307898116,2.51125,5.8279981446
"2010Q4",6.3114462354,1,0,0,1,2.0735544193,-3.4063976997,-12.248210239,3.8746560695,6.1713809109,0.0983349364,1.9376952178,-0.11,5.8260566745
"2011Q1",7.873376832,1,0,0,0,2.0434678277,-1.2530624894,-3.4063976997,4.676582964,4.5464241658,0.1241534652,1.9465121974,1.6203225806,6.0507148754
"2011Q2",0.8733169496,1,1,0,0,2.0882978317,7.3887035825,-1.2530624894,3.3857707225,4.0825931031,-0.4794127689,1.9555549889,2.0466666667,6.0487734052
"2011Q3",6.489533518,1,0,1,0,2.076371428,4.2537603242,7.3887035825,2.8596913453,4.5030482362,2.325702664,1.9621133564,2.8206896552,6.046831935
