"itaee_c","Q1","Q2","Q3","Q4","itaee_log","itaee_c1","itaee_c2","inpc_general_c1","desocup","ied_mxp_log","usindpro_log","pibp12mes_e","gtopgj_pc"
"2006Q4",3.555095724,1,0,0,1,2.0583939934,0.0282094846,1.9575492803,2.8320372597,2.6102886481,0.9515739233,1.9822059332,3.7396774194,6.401753016
"2007Q1",0.4030648944,1,0,0,0,2.0117840273,6.7168607018,0.0282094846,2.6612724485,3.2527204969,1.7936049896,1.9862640145,3.635483871,7.0610551344
"2007Q2",4.0645654901,1,1,0,0,2.0369160655,3.9519015091,6.7168607018,2.5740006666,2.970108174,1.1590304253,1.9890164937,3.5044117647,7.0590871017
"2007Q3",-0.9586089579,1,0,1,0,2.0797213399,9.0714861329,3.9519015091,2.8194881183,3.4617149741,1.3551832821,1.9905856842,3.4184848485,7.0571190689
"2007Q4",4.6606599085,1,0,0,1,2.0735654678,3.555095724,9.0714861329,3.7110267417,4.2373179549,1.8301522069,1.9912381885,3.4645454545,7.0551510362
"2008Q1",6.0789763702,1,0,0,0,2.0135309975,0.4030648944,3.555095724,4.0604213537,4.1829561724,3.0994159517,1.9952639116,3.3674193548,7.0531830035
"2008Q2",6.2860087459,1,1,0,0,2.0542189407,4.0645654901,0.4030648944,3.9088626961,4.2232249514,2.6159608826,2.0004022599,3.4309090909,7.0512149707
"2008Q3",9.6570808678,1,0,1,0,2.0755380713,-0.9586089579,4.0645654901,4.6669940668,3.9004393864,3.831620327,2.0016301734,3.508125,7.049246938
"2008Q4",7.362202846,1,0,0,1,2.0933489366,4.6606599085,-0.9586089579,4.6166832836,3.3531177628,2.511869811,2.0026664724,3.4925806452,7.0472789053
"2009Q1",1.3102415588,1,0,0,0,2.0391603178,6.0789763702,4.6606599085,4.5338270666,3.7150850765,3.1043253496,2.0011658174,3.7710322581,6.4742998869
"2009Q2",1.1897158317,1,1,0,0,2.0806950394,6.2860087459,6.0789763702,4.9493237559,4.0986770096,3.2613824846,1.9949860463,3.6216129032,6.4723318541
"2009Q3",-0.150409137,1,0,1,0,2.1155747518,9.6570808678,6.2860087459,4.759539454,3.6945130936,4.0930117513,1.9809775837,3.3943333333,6.4703638214
"2009Q4",-0.503850683,1,0,0,1,2.1242003503,7.362202846,9.6570808678,5.3561800481,3.1827883853,2.4978568732,1.9621678495,3.3303225806,6.4683957887
"2010Q1",7.3845780994,1,0,0,0,2.0448136687,1.3102415588,7.362202846,4.8182654397,3.9669857381,2.7383020976,1.9381628367,3.3909705882,6.5368049183
"2010Q2",4.9928068581,1,1,0,0,2.0858314157,1.1897158317,1.3102415588,5.537280775,4.1100876825,2.5489688417,1.9255821091,3.2456,6.5348368856
"2010Q3",6.5322499885,1,0,1,0,2.1149210415,-0.150409137,1.1897158317,4.7346065538,5.2160619771,2.1042129927,1.9307898116,2.51125,6.5328688529
"2010Q4",3.3332524675,1,0,0,1,2.1220066234,-0.503850683,-0.150409137,3.3694805166,5.1843265942,1.6325450929,1.9376952178,-0.11,6.5309008201
"2011Q1",1.7596241135,1,0,0,0,2.0757555839,7.3845780994,-0.503850683,4.4735115587,5.3480895604,1.6555823431,1.9465121974,1.6203225806,6.576830694
"2011Q2",1.7924658563,1,1,0,0,2.106990962,4.9928068581,7.3845780994,3.0110231974,5.2534081921,2.2842459167,1.9555549889,2.0466666667,6.5748626613
"2011Q3",-1.2823153113,1,0,1,0,2.142402141,6.5322499885,4.9928068581,3.221251398,4.5474378517,2.7188392031,1.9621133564,2.8206896552,6.5728946285
