"cte","Q2","Q3","Q4","itaee_log","itaee_c1","itaee_c2","inpc_general_c1","desocup","ied_mxp_log","usindpro_log","pibp12mes_e","gtopgj_pc"
"2006Q4",749.952076352634,0.608714951226099,2.22218015046183,1.92562934474187,-101.472606673665,0.0188687621107379,0.0190964588784812,0.165618471324133,-2.76995544381181,-0.385308102930902,-269.307549787379,-0.858632389227984,0.853430590445262
"2007Q1",742.948275222032,0.501393973571443,2.08132658797276,1.89572217387067,-94.0012355060513,0.0283725760056286,0.0130074548725249,0.149588234854065,-2.76830093519888,-0.37593189995674,-273.38407851732,-0.653598605739961,0.732726644732285
"2007Q2",741.78587044399,0.473057932341785,2.05091231502776,1.8848749591756,-93.1091014078156,0.0289429031121415,0.0129788005152867,0.174901172583588,-2.79512828102838,-0.384964981907782,-273.587226161087,-0.661930091072355,0.703691003062458
"2007Q3",737.759405336433,0.41339465479301,2.00710424908327,1.87000887605764,-88.3033409120777,0.0329384791937901,0.0127196160430556,0.124617076691023,-2.7530914526264,-0.33809671204456,-276.645986686397,-0.49741035127687,0.649330464464128
"2007Q4",739.205828258211,0.424822596940542,1.99639341021413,1.85921852103468,-89.8851641684662,0.0264865974178417,0.0105906482924775,0.156326301112531,-2.79998347023796,-0.36717856236161,-275.690416853129,-0.616500347485044,0.71659825363906
"2008Q1",739.131549208548,0.441649118709248,2.01328835219722,1.82007821657677,-93.6137203975232,0.0228887954802291,0.00830564026961471,0.0893745841886759,-2.68697984537394,-0.349496250179727,-272.250423196874,-0.621664743575285,0.824755109352765
"2008Q2",722.663796477242,0.133825663737508,1.49147035068291,1.48867476307713,-77.8797139981461,-0.00236111866047501,0.0189859730558159,0.507690978302066,-3.36171701725352,-0.533369770505836,-277.249123943784,-1.08316047073911,0.450837115997099
"2008Q3",727.003222127416,0.402665260146435,1.96526317853517,1.71945043368868,-86.7115850797478,0.0230523533406136,0.0155736701255983,0.291505564244821,-2.95943136803521,-0.367715597044219,-271.837180565494,-0.751981127276978,0.528489787736267
"2008Q4",719.754905195922,0.313310746018851,1.83219018425543,1.72272364517788,-81.080194474817,0.0282810530345728,0.0105533846859022,0.299668294407367,-2.97365629552658,-0.375518295486733,-273.820804982665,-0.625438647470261,0.428811678245087
"2009Q1",719.710098922375,0.24418483298489,1.76516379761732,1.7273713402223,-76.8002608139076,0.0336743571270573,0.0167405633958853,0.43446190543667,-3.17668873493908,-0.413203704937891,-277.275556641725,-0.6893844178502,0.231912443999545
"2009Q2",767.616794296055,0.693912909948656,2.64780727681617,2.0528045942066,-111.593949299464,0.00674978663855868,0.0353145616652071,0.139748058347599,-2.82477117768277,-0.302380919608131,-267.831780015741,-1.05752755735055,0.971805406299305
"2009Q3",738.552320843755,0.138502037128157,1.78604840890395,1.8221432595245,-79.7407491093266,0.0410731169376213,0.00440118512647918,0.228865907344596,-3.05780105154417,-0.383503093808508,-284.601583660974,-0.475099603017799,0.41309490787905
"2009Q4",746.622609600404,0.294642993677205,1.98010881778371,1.88563410985374,-88.9303732237201,0.0305771141425539,0.0108273990335982,0.212583182085924,-3.00087685599767,-0.377122512511756,-279.571630270927,-0.665151025049088,0.584447054939914
"2010Q1",745.602119744785,0.275729753189,1.96529046038679,1.88191727849996,-88.1047557773526,0.033574954881861,0.0131672907794402,0.219513790016108,-3.00026656531194,-0.37152080494866,-279.789583740172,-0.62831284747786,0.523387785548232
"2010Q2",747.281296631929,0.300211839877095,1.98344918995317,1.88458558363358,-89.5156468323076,0.0301345382748831,0.013099572873125,0.221174205850913,-3.00335687311433,-0.378140404740149,-279.23248687076,-0.674415500569362,0.565184421596601
"2010Q3",748.090472370713,0.31780337675363,1.94405503609951,1.88269061636821,-91.1303587771413,0.0263284856628904,0.00999942991327935,0.24161698789669,-3.0190619690036,-0.403782069636798,-278.087605282194,-0.746433242159993,0.644431182376088
"2010Q4",745.536452638961,0.297450915746672,1.93531939769789,1.90025766545098,-88.8237313688693,0.0338396926815518,0.0113462756613925,0.214901967080494,-2.98068596675094,-0.377488445499033,-279.14116929958,-0.625773169079924,0.553072770626085
"2011Q1",742.479784768782,0.292243980671265,1.92788010958095,1.92171942625294,-86.7522054251932,0.0397513307354897,0.0113583047392212,0.191707279544162,-2.94460659234139,-0.36044309888338,-279.708896950893,-0.513181644800765,0.471252542359617
"2011Q2",749.252161346754,0.521140269535556,2.14028862215822,2.04606442904513,-95.349373620548,0.0511416324163642,0.0121338730427893,0.149865677109109,-2.78882054542167,-0.321509543615624,-274.925538987706,-0.521540920646382,0.571976989886877
"2011Q3",736.632287763906,0.177327892564517,1.74808803083982,1.80247455313525,-78.31208695433,0.0314106942336736,0.0149566304094424,0.201135377548378,-3.01363888459881,-0.401198297677951,-285.313255297135,-0.473728661998248,0.471883256374345
