"itaee_c","Q1","Q2","Q3","Q4","itaee_log","itaee_c1","itaee_c2","inpc_general_c1","desocup","ied_mxp_log","usindpro_log","pibp12mes_e","gtopgj_pc"
"2006Q4",8.0025412191,1,0,0,1,2.0569702474,3.0704716729,6.4106235938,2.6184653743,5.1465334317,3.8064291374,1.9822059332,3.7396774194,6.7584909997
"2007Q1",7.9485211661,1,0,0,0,2.0566201252,8.7059910856,3.0704716729,3.7280061643,4.4483220192,3.4703967842,1.9862640145,3.635483871,6.8006315204
"2007Q2",5.3638397675,1,1,0,0,2.0760782405,7.0852212685,8.7059910856,2.8435023724,4.7458406104,3.9135723235,1.9890164937,3.5044117647,6.7982841665
"2007Q3",6.0742561525,1,0,1,0,2.0792720384,5.8190142807,7.0852212685,2.666283782,5.6160684273,3.3402005107,1.9905856842,3.4184848485,6.7959368126
"2007Q4",6.0738492302,1,0,0,1,2.0904042217,8.0025412191,5.8190142807,3.0107353824,5.2310829364,3.9335984986,1.9912381885,3.4645454545,6.7935894588
"2008Q1",0.978654302,1,0,0,0,2.0898368223,7.9485211661,8.0025412191,3.1813204217,4.8243885046,3.9548217926,1.9952639116,3.3674193548,6.8661223629
"2008Q2",3.7544432905,1,1,0,0,2.0987698297,5.3638397675,7.9485211661,2.9042406483,4.7605692109,-2.6105189339,2.0004022599,3.4309090909,6.863775009
"2008Q3",2.5697511053,1,0,1,0,2.1048820333,6.0742561525,5.3638397675,3.871476971,4.9427167672,4.3579001679,2.0016301734,3.508125,6.8614276551
"2008Q4",-1.9576658469,1,0,0,1,2.1160125506,6.0738492302,6.0742561525,3.7230633793,4.0252013338,3.4654701682,2.0026664724,3.4925806452,6.8590803013
"2009Q1",-11.2468394606,1,0,0,0,2.0940664011,0.978654302,6.0738492302,3.1419294063,4.4328612096,3.6204271159,2.0011658174,3.7710322581,6.9223894161
"2009Q2",-13.7708160454,1,1,0,0,2.1147765342,3.7544432905,0.978654302,4.473117214,4.0775669103,3.7278619182,1.9949860463,3.6216129032,6.9200420622
"2009Q3",-8.0409565167,1,0,1,0,2.115901335,2.5697511053,3.7544432905,5.3318739757,5.0149427158,3.7761741851,1.9809775837,3.3943333333,6.9176947083
"2009Q4",-3.2771800731,1,0,0,1,2.1074261928,-1.9576658469,2.5697511053,6.3846272552,4.7517231773,3.7922240215,1.9621678495,3.3303225806,6.9153473545
"2010Q1",7.5199463134,1,0,0,0,2.0422502285,-11.2468394606,-1.9576658469,7.3545392534,6.4740991419,3.9570672705,1.9381628367,3.3909705882,6.9647430909
"2010Q2",10.2565358012,1,1,0,0,2.0504308103,-13.7708160454,-11.2468394606,7.2970862031,7.0685676766,3.2192049793,1.9255821091,3.2456,6.962395737
"2010Q3",7.2112451057,1,0,1,0,2.0794957803,-8.0409565167,-13.7708160454,6.4441692171,7.903405986,3.1719018371,1.9307898116,2.51125,6.9600483831
"2010Q4",9.5202599799,1,0,0,1,2.0929551426,-3.2771800731,-8.0409565167,5.3877731379,7.6342497693,3.7713402087,1.9376952178,-0.11,6.9577010292
"2011Q1",7.6406243019,1,0,0,0,2.0737392674,7.5199463134,-3.2771800731,4.4407445164,7.170561229,3.4970078777,1.9465121974,1.6203225806,6.9793530391
"2011Q2",6.0569867748,1,1,0,0,2.0928351534,10.2565358012,7.5199463134,2.8549397892,6.6973727379,4.7817950007,1.9555549889,2.0466666667,6.9770056852
"2011Q3",6.6669030545,1,0,1,0,2.10973612,7.2112451057,10.2565358012,1.9673813976,6.6903700351,-2.1262860665,1.9621133564,2.8206896552,6.9746583313
