"itaee_c","itaee_yhat.one","itaee_yhat.two","itaee_yfilt_ma","itaee_yfilt_ma.one","itaee_yfilt_ma.two"
"2006Q4",0.3620576538,-0.674833622177612,-0.674833622177612,-2.01280246254391,-2.0488390013555,-1.88576437721921
"2007Q1",0.3777092476,1.2844408427426,1.2844408427426,3.72260905627099,3.95556087093944,3.09318843025196
"2007Q2",6.888298031,7.85173477729266,7.85173477729266,7.68920511347926,7.68662977034185,7.6989208318786
"2007Q3",8.0632104912,8.2728047080709,8.2728047080709,8.4443796352864,8.44906122451306,8.42704024614529
"2007Q4",10.5001746063,11.7998693767565,11.7998693767565,12.2610915042929,12.2668440595935,12.2396216702972
"2008Q1",15.5787887651,13.3770113564557,13.3770113564557,11.9355681156486,11.9263324579626,11.9710134736956
"2008Q2",6.742489449,8.08036827860154,8.08036827860154,4.41850974573477,4.3526578351732,4.66090759526306
"2008Q3",1.9705512129,-0.231792297626671,-0.231792297626671,-0.304163673471722,-0.303479755947363,-0.306846207195382
"2008Q4",-6.6071555251,-7.0032384281432,-7.0032384281432,-6.90755618490124,-6.90295630954869,-6.92458056812026
"2009Q1",-11.8979243218,-11.4458001000283,-11.4458001000283,-12.8098497280633,-12.8394069940668,-12.7007046870257
"2009Q2",-12.252544745,-13.019975973628,-13.019975973628,-10.7683776092664,-10.7205392232177,-10.9413817899193
"2009Q3",-11.9737569556,-10.6454927311574,-10.6454927311574,-10.1151108217738,-10.1145022582172,-10.1174407639774
"2009Q4",-4.4943032248,-4.19286015232896,-4.19286015232896,-3.08119791437621,-3.05751778495299,-3.16665867174633
"2010Q1",-1.4013964228,-0.65832127292017,-0.65832127292017,-1.97694077036641,-2.00473799774039,-1.87490784386343
"2010Q2",2.7452553291,1.16254762130181,1.16254762130181,1.39566054918615,1.40098876145269,1.37485110438579
"2010Q3",4.7978892248,4.97987138048217,4.97987138048217,2.90101343021561,2.83684592632671,3.12522500359038
"2010Q4",3.8456518455,3.67748817797047,3.67748817797047,3.29897872924143,3.29449715893003,3.31523350831291
"2011Q1",1.9998409266,2.09968736739636,2.09968736739636,2.68151550920239,2.69351749497986,2.63864019035535
"2011Q2",2.1354538666,2.18427722541831,2.18427722541831,3.59619843950831,3.62566442182563,3.4906067819808
"2011Q3",1.9445837113,2.42708662200113,2.42708662200113,3.97941494658268,4.01338273312608,3.85927752976261
