"itaee_c","Q1","Q2","Q3","Q4","itaee_log","itaee_c1","itaee_c2","inpc_general_c1","desocup","ied_mxp_log","usindpro_log","pibp12mes_e","gtopgj_pc"
"2006Q4",7.0101290707,1,0,0,1,2.0673507732,4.5950243688,4.6272028974,4.4324507005,3.8077879215,2.7277063532,1.9822059332,3.7396774194,6.8953892984
"2007Q1",8.7818133132,1,0,0,0,2.0629942001,6.3466346177,4.5950243688,4.4318682827,4.4392621651,2.9726731849,1.9862640145,3.635483871,6.8923184208
"2007Q2",6.9050313943,1,1,0,0,2.083723295,8.0610782562,6.3466346177,4.2546518634,3.8594333571,2.6563165747,1.9890164937,3.5044117647,6.8892475432
"2007Q3",7.9836582944,1,0,1,0,2.0849498982,6.4714192068,8.0610782562,4.8947419301,3.9435565385,2.7724795483,1.9905856842,3.4184848485,6.8861766657
"2007Q4",7.1547181507,1,0,0,1,2.0967756611,7.0101290707,6.4714192068,4.666046746,4.004539194,2.6239948123,1.9912381885,3.4645454545,6.8831057881
"2008Q1",7.1695010256,1,0,0,0,2.099550494,8.7818133132,7.0101290707,4.5031050989,4.105335305,2.7113913671,1.9952639116,3.3674193548,6.8800349105
"2008Q2",6.0579755648,1,1,0,0,2.1127214404,6.9050313943,8.7818133132,4.5385770568,3.5304981017,2.8479374703,2.0004022599,3.4309090909,6.876964033
"2008Q3",3.1379868441,1,0,1,0,2.1183079347,7.9836582944,6.9050313943,3.8463336941,3.6935830422,2.7065026114,2.0016301734,3.508125,6.8738931554
"2008Q4",-0.8164981485,1,0,0,1,2.1267869594,7.1547181507,7.9836582944,4.0994700261,3.6221670988,-0.845111646,2.0026664724,3.4925806452,6.8708222778
"2009Q1",-12.6040386356,1,0,0,0,2.1296217027,7.1695010256,7.1547181507,4.8827908884,3.8347174266,3.0380013417,2.0011658174,3.7710322581,6.8677514003
"2009Q2",-13.0185912527,1,1,0,0,2.1382647734,6.0579755648,7.1695010256,5.7796597212,3.7108537938,3.138351391,1.9949860463,3.6216129032,6.8646805227
"2009Q3",-5.6869067239,1,0,1,0,2.1317265849,3.1379868441,6.0579755648,6.7773772859,3.9171126778,3.1096284487,1.9809775837,3.3943333333,6.8616096451
"2009Q4",-1.9822834593,1,0,0,1,2.1232263972,-0.8164981485,3.1379868441,7.3556691674,3.7449520574,3.0645095568,1.9621678495,3.3303225806,6.8585387676
"2010Q1",5.4207706159,1,0,0,0,2.0711130667,-12.6040386356,-0.8164981485,6.5235016429,5.3837264214,3.2176574836,1.9381628367,3.3909705882,7.2922883868
"2010Q2",9.3529484836,1,1,0,0,2.0776912106,-13.0185912527,-12.6040386356,5.6187055567,7.37982359,2.9665180886,1.9255821091,3.2456,7.2892175093
"2010Q3",5.1228918684,1,0,1,0,2.1062985739,-5.6869067239,-13.0185912527,5.3005611462,8.605718294,3.4233456195,1.9307898116,2.51125,7.2861466317
"2010Q4",6.1398414975,1,0,0,1,2.114530978,-1.9822834593,-5.6869067239,4.0131839009,7.8892262567,3.0158645374,1.9376952178,-0.11,7.2830757541
"2011Q1",7.4464477257,1,0,0,0,2.0940392532,5.4207706159,-1.9822834593,4.9192154854,7.8061271099,2.7868762123,1.9465121974,1.6203225806,7.2948515519
"2011Q2",6.6197671879,1,1,0,0,2.116521708,9.3529484836,5.4207706159,4.6834196633,6.807815061,3.021022646,1.9555549889,2.0466666667,7.2917806744
"2011Q3",8.4926787577,1,0,1,0,2.1279958735,5.1228918684,9.3529484836,3.9198880274,6.8690803909,3.1468489592,1.9621133564,2.8206896552,7.2887097968
