"cte","Q2","Q3","Q4","itaee_log","itaee_c1","itaee_c2","inpc_general_c1","desocup","ied_mxp_log","usindpro_log","pibp12mes_e","gtopgj_pc"
"2006Q4",563.499982265295,17.6313833147027,24.3088687452859,27.6986548628266,-795.712496998009,0.094549274561255,-0.00886975940163313,0.217545632731369,2.1293308181201,0.170970253373873,544.244265212601,-0.789374085049195,-3.73547386795035
"2007Q1",558.250850210441,17.5859444737841,24.0873982656109,27.6008129983858,-787.571172519205,0.0980312170199189,-0.00711672703585131,0.0801679386270476,2.36709314851105,0.179513566384601,541.667649104403,-0.396265494506003,-4.90261906395934
"2007Q2",557.718313211212,17.5355974064595,24.0645262741165,27.5224662529529,-785.638541664219,0.104525652003576,-0.00774472772113251,0.145811875325855,2.26753958557878,0.143517022919518,537.978537212826,-0.544062883647548,-4.23059235519407
"2007Q3",556.136122928212,17.317579053545,23.9959287740911,27.1983027435104,-777.166133118857,0.141036929524325,-0.0158094504432013,0.371439064650577,1.98845735579353,-0.0319118482249877,524.851329533,-0.931337874685452,-2.43840133647942
"2007Q4",555.515258444441,17.4762924206523,24.0052848421932,27.5793250440725,-781.830594580903,0.127362185209041,-0.00271856989121835,0.175097471315291,2.42585542573381,0.0644226851881189,538.801622067994,-0.346487171675137,-5.44071698993307
"2008Q1",548.153673997694,17.5887496499702,24.2434043298864,27.7863563417336,-788.770256019023,0.110931731467614,-0.00691449405729209,0.262780930837466,2.29069529667639,0.0731314754619786,546.171099602925,-0.610150514486544,-4.27564704729169
"2008Q2",545.857241724433,17.9164680131236,24.489023343554,28.1119742665318,-798.313546978138,0.0842973196867346,-0.00468347879788513,0.130100965227172,2.47455217955773,0.16835064008962,561.206622560731,-0.41838410904543,-5.6040922898266
"2008Q3",544.35015656933,17.8404680888652,24.5463425954184,28.0096559378904,-795.947708959692,0.0813124329829053,-0.00755386271351711,0.217549013648715,2.24119724853602,0.137659020550062,555.154321718563,-0.714306723580317,-4.10651394425605
"2008Q4",551.927432238382,17.7797626459722,24.4297347663712,27.8319657198439,-792.711155103406,0.103495841076117,-0.00549861695737764,0.212091018423229,2.29633088286194,0.129975190730942,549.957811980017,-0.634524648432031,-4.74244981375836
"2009Q1",552.957229190747,18.0462294425189,24.8119997784292,28.206863305022,-801.112532904305,0.0910720947883008,-0.00693781390501218,0.281752088712503,2.18643955931925,0.263758359471834,555.094355945521,-0.822858770788945,-3.84323181510336
"2009Q2",556.704129252451,18.1020156526579,25.0276976968566,28.4663192797372,-807.924728363901,0.0912531712369133,-0.00743738904148,0.28798767531653,2.19179082373717,0.0777200230212691,559.893779382863,-0.818919749489163,-3.66535628213272
"2009Q3",563.216177729475,18.2797947571279,25.1070249608712,28.7229066301273,-814.948650361355,0.0954906417288847,-0.00732571555066272,0.193513047990343,2.38870302867914,0.199563317253473,567.621071359499,-0.560895798288869,-4.99666679270741
"2009Q4",571.896558515808,18.1108692209875,24.8318230350774,28.3234867293595,-807.307985980641,0.119967473113665,-0.0049818282904627,0.11841542800697,2.48547431146948,0.106949934097936,559.983662497742,-0.428527084846019,-6.36865011803466
"2010Q1",571.453900159486,18.1116971101061,24.8394947015761,28.3542715495135,-809.865511667226,0.100852672425546,-0.00532610333840789,0.0914013933635835,2.51397358427801,0.24400412731651,563.469539160609,-0.380128124613521,-6.62959687278383
"2010Q2",568.414540358636,18.055662687868,24.8358036964944,28.2758760193362,-808.394582588805,0.105923214397462,-0.00812104103260021,0.192463970209274,2.35605929845124,0.202828935574548,560.218776013912,-0.629600854422574,-5.51588450270569
"2010Q3",565.332949884257,18.0286669762729,24.7801990837403,28.2478353040279,-807.370157153196,0.108156559158792,-0.00808655439521425,0.225707326812098,2.30729497941567,0.165358014517602,559.102714672277,-0.68814356521177,-4.99235551568606
"2010Q4",566.126067335766,18.0550741340031,24.7840693373579,28.2921076936734,-808.236667111227,0.106389458362448,-0.00739850639113915,0.179785873408703,2.38625151459696,0.190483863770919,561.266934017686,-0.580229542594151,-5.55658951221948
"2011Q1",565.829331794302,17.678666599877,24.4911075477214,27.8106064325302,-798.081432216217,0.108787969757781,-0.0124813604510567,0.340977169012322,1.92864992745808,0.133155114446119,540.719644489216,-1.08043387961024,-2.15701676400801
"2011Q2",571.010256220809,17.7142004424286,24.4202025420357,27.8904135525956,-798.970250113927,0.105864368978894,-0.00668873200609977,0.147269004639226,2.24581631637392,0.209189079960131,545.670191629402,-0.600632498303947,-4.40937602593903
"2011Q3",571.896737653032,17.5950493501367,24.279132788502,27.695865321214,-794.533892136912,0.0980569740666166,-0.00876052110296661,0.185723651817425,2.09153262802551,0.191329979203693,539.133474199204,-0.766574499927976,-3.8222836110069
