"itaee_c","Q1","Q2","Q3","Q4","itaee_log","itaee_c1","itaee_c2","inpc_general_c1","desocup","ied_mxp_log","usindpro_log","pibp12mes_e","gtopgj_pc"
"2006Q4",0.9884779892,1,0,0,1,2.0305416594,2.2369020187,3.2124566356,3.4165436774,1.5309302967,1.4981649561,1.9822059332,3.7396774194,5.9747904672
"2007Q1",-0.5892371046,1,0,0,0,2.0404628124,2.2205010004,2.2369020187,4.3253196329,1.5705312378,1.4942089424,1.9862640145,3.635483871,5.9729434055
"2007Q2",0.1112661355,1,1,0,0,2.0431010874,2.2193558542,2.2205010004,3.7236870124,1.5462735407,1.357622704,1.9890164937,3.5044117647,5.9710963437
"2007Q3",3.5528164245,1,0,1,0,2.0184456711,-1.3554467121,2.2193558542,4.1410104172,1.703366393,1.3370606445,1.9905856842,3.4184848485,5.969249282
"2007Q4",2.1722848116,1,0,0,1,2.0348134864,0.9884779892,-1.3554467121,5.1142424229,2.2072892196,1.6076402638,1.9912381885,3.4645454545,5.9674022202
"2008Q1",1.4635221126,1,0,0,0,2.0378962191,-0.5892371046,0.9884779892,4.4653938871,1.9835314816,1.8970366216,1.9952639116,3.3674193548,5.9655551585
"2008Q2",1.7318753737,1,1,0,0,2.0435840415,0.1112661355,-0.5892371046,4.5298760098,1.7264104903,1.6487139409,2.0004022599,3.4309090909,5.9637080967
"2008Q3",2.2735067751,1,0,1,0,2.0336075864,3.5528164245,0.1112661355,4.1882690467,1.503247803,1.078066459,2.0016301734,3.508125,5.961861035
"2008Q4",2.5439871532,1,0,0,1,2.0441465917,2.1722848116,3.5528164245,3.6712204338,1.9607225195,1.4903451699,2.0026664724,3.4925806452,5.9600139732
"2009Q1",-2.2565901028,1,0,0,0,2.044206153,1.4635221126,2.1722848116,4.30520815,1.6163435733,1.7759597662,2.0011658174,3.7710322581,5.9581669115
"2009Q2",-5.6923610214,1,1,0,0,2.051041092,1.7318753737,1.4635221126,5.2111824816,2.0154485996,1.893167494,1.9949860463,3.6216129032,5.9563198497
"2009Q3",-2.9698343525,1,0,1,0,2.0433707338,2.2735067751,1.7318753737,5.6385006936,2.1817097897,1.576213887,1.9809775837,3.3943333333,5.954472788
"2009Q4",0.3066817947,1,0,0,1,2.0550567915,2.5439871532,2.2735067751,6.1840017486,2.4589635827,1.1394761711,1.9621678495,3.3303225806,5.9526257262
"2010Q1",0.0912911943,1,0,0,0,2.0342936389,-2.2565901028,2.5439871532,6.0568224522,2.3354798087,2.4987930012,1.9381628367,3.3909705882,5.4808760299
"2010Q2",6.6217745125,1,1,0,0,2.0255879643,-5.6923610214,-2.2565901028,5.5657005378,2.2928137708,0.9328513296,1.9255821091,3.2456,5.4790289681
"2010Q3",4.9134983465,1,0,1,0,2.0302775066,-2.9698343525,-5.6923610214,4.86050992,1.6783130349,1.902239354,1.9307898116,2.51125,5.4771819064
"2010Q4",2.303224969,1,0,0,1,2.0563866555,0.3066817947,-2.9698343525,3.3226745855,1.9452920883,0.9325678135,1.9376952178,-0.11,5.4753348446
"2011Q1",3.2226842664,1,0,0,0,2.0346899306,0.0912911943,0.3066817947,4.1025747945,2.4996311366,1.0292289296,1.9465121974,1.6203225806,6.3177800996
"2011Q2",-0.1815684861,1,1,0,0,2.0534338705,6.6217745125,0.0912911943,3.1680276909,2.2971317327,1.1246826053,1.9555549889,2.0466666667,6.3159330379
"2011Q3",0.4131458527,1,0,1,0,2.0511088754,4.9134983465,6.6217745125,3.1118015977,2.0860758615,0.7410778501,1.9621133564,2.8206896552,6.3140859761
