"itaee_c","itaee_yhat.one","itaee_yhat.two","itaee_yfilt_ma","itaee_yfilt_ma.one","itaee_yfilt_ma.two"
"2006Q4",1.7347214385,3.66223628872343,3.66223628872343,3.9214565547256,3.92928563185568,3.89424892616664
"2007Q1",2.3358853996,0.465250876677825,0.465250876677825,1.21752110021043,1.22740738200909,1.17971085989461
"2007Q2",4.6311312956,5.03853938053296,5.03853938053296,4.26965941127897,4.25341780565172,4.3265111487545
"2007Q3",3.6292008186,2.38656058019645,2.38656058019645,1.94575676154079,1.93228787803835,1.99207026940582
"2007Q4",1.2087016056,0.327335178930733,0.327335178930733,0.77372472117609,0.784695396600287,0.734281943193538
"2008Q1",-2.1388224244,-1.91302151220795,-1.91302151220795,-2.66387672460606,-2.68944815150485,-2.5753211079222
"2008Q2",-2.6413459735,-4.07239876965466,-4.07239876965466,-3.44561179074207,-3.43255084037445,-3.49407447083431
"2008Q3",-3.6734174206,-3.87909910915147,-3.87909910915147,-3.76113420241425,-3.7606842240404,-3.76272284797638
"2008Q4",-4.9125884108,-4.38072658743116,-4.38072658743116,-4.16187780594248,-4.15162351833096,-4.19773808946487
"2009Q1",-5.1027908615,-4.30423599799774,-4.30423599799774,-3.82736725198962,-3.82440451884809,-3.83789037758224
"2009Q2",-2.9331705625,-1.52243244632579,-1.52243244632579,-1.05535521980584,-1.05835462956884,-1.04451609192414
"2009Q3",1.1442408001,2.17584720557322,2.17584720557322,1.53372035614769,1.51918554957367,1.58703548980085
"2009Q4",5.8855200888,4.80005118398804,4.80005118398804,4.04980554044986,4.04412900234229,4.06988929770691
"2010Q1",5.9488079239,5.7003263229788,5.7003263229788,6.10367245762432,6.10852766118669,6.08649276763123
"2010Q2",10.0515464225,9.51810328462758,9.51810328462758,9.19080089909444,9.19310082901291,9.18263561188869
"2010Q3",1.6371746925,2.46665564090006,2.46665564090006,3.8857653774469,3.97496021331193,3.64080232672352
"2010Q4",4.169432954,3.67689161177981,3.67689161177981,2.52633829673777,2.47954800095958,2.67280327621972
"2011Q1",5.1767514826,6.271511830684,6.271511830684,6.13043925543135,6.11930915039446,6.17217614207025
"2011Q2",3.6945982172,3.84094795006076,3.84094795006076,3.98143844782851,3.98444276285801,3.97085977004205
"2011Q3",3.9731923651,3.56042693790806,3.56042693790806,3.40230970203372,3.40541906602656,3.39131770993721
