"itaee_c","Q1","Q2","Q3","Q4","itaee_log","itaee_c1","itaee_c2","inpc_general_c1","desocup","ied_mxp_log","usindpro_log","pibp12mes_e","gtopgj_pc"
"2006Q4",4.6281625588,1,0,0,1,2.0360870449,2.3936995749,-1.7138485306,3.6432070376,2.8333162088,2.9841869081,1.9822059332,3.7396774194,6.3219307388
"2007Q1",3.2347200672,1,0,0,0,2.0279559461,6.3583256224,2.3936995749,3.951456745,2.8894961343,1.5479721485,1.9862640145,3.635483871,6.3467122293
"2007Q2",4.2250256887,1,1,0,0,2.0333119778,2.275764154,6.3583256224,2.7711829241,2.6157296613,-1.4891908576,1.9890164937,3.5044117647,6.3445947518
"2007Q3",2.9126496991,1,0,1,0,2.0310389982,5.447485841,2.275764154,2.7771305408,2.7922387031,2.6520258803,1.9905856842,3.4184848485,6.3424772743
"2007Q4",4.450206687,1,0,0,1,2.0557356433,4.6281625588,5.447485841,3.7194163248,2.6337566554,-3.2176132436,1.9912381885,3.4645454545,6.3403597967
"2008Q1",2.9595341689,1,0,0,0,2.0417817306,3.2347200672,4.6281625588,4.1600855039,2.5129114932,-1.6735289644,1.9952639116,3.3674193548,6.3578565517
"2008Q2",6.8845283835,1,1,0,0,2.0512839887,4.2250256887,3.2347200672,4.3259687066,1.9459903333,4.214294569,2.0004022599,3.4309090909,6.3557390741
"2008Q3",5.9746574978,1,0,1,0,2.0435077584,2.9126496991,4.2250256887,4.503752896,2.3326179614,2.6828015041,2.0016301734,3.508125,6.3536215966
"2008Q4",-1.7456165414,1,0,0,1,2.074644947,4.450206687,2.9126496991,4.208728093,2.6910617687,2.6869095824,2.0026664724,3.4925806452,6.3515041191
"2009Q1",-8.1398115933,1,0,0,0,2.0544482996,2.9595341689,4.450206687,3.4820642983,2.3412559852,1.9560834785,2.0011658174,3.7710322581,6.4430652154
"2009Q2",-7.7524765286,1,1,0,0,2.080198834,6.8845283835,2.9595341689,4.2993317501,2.7066931808,1.4824530806,1.9949860463,3.6216129032,6.4409477379
"2009Q3",-5.6689135442,1,0,1,0,2.06870978,5.9746574978,6.8845283835,5.1171475883,2.7695214546,0.6639547353,1.9809775837,3.3943333333,6.4388302604
"2009Q4",-1.6191759374,1,0,0,1,2.0669968819,-1.7456165414,5.9746574978,6.0422527224,3.2233194575,2.4195393191,1.9621678495,3.3303225806,6.4367127829
"2010Q1",4.0289115242,1,0,0,0,2.0175756314,-8.1398115933,-1.7456165414,6.6960595268,3.0059994465,2.4144343846,1.9381628367,3.3909705882,6.4981245762
"2010Q2",3.4578686598,1,1,0,0,2.0451535497,-7.7524765286,-8.1398115933,6.360859345,4.220733575,1.5082029025,1.9255821091,3.2456,6.4960070987
"2010Q3",2.2214544429,1,0,1,0,2.0433646164,-5.6689135442,-7.7524765286,5.1860937118,3.9974455598,0.6053649883,1.9307898116,2.51125,6.4938896211
"2010Q4",2.5494625121,1,0,0,1,2.0599073379,-1.6191759374,-5.6689135442,3.2932896982,3.7400073892,2.0015833285,1.9376952178,-0.11,6.4917721436
"2011Q1",2.3406490094,1,0,0,0,2.0347296858,4.0289115242,-1.6191759374,3.359439998,3.1359815159,-1.7870665398,1.9465121974,1.6203225806,6.5067495959
"2011Q2",2.5456048613,1,1,0,0,2.0599170769,3.4578686598,4.0289115242,2.4660869734,3.548432561,-0.3737508437,1.9555549889,2.0466666667,6.5046321184
"2011Q3",5.5287608497,1,0,1,0,2.0529066724,2.2214544429,3.4578686598,2.3016550524,3.2903931605,-1.1860011126,1.9621133564,2.8206896552,6.5025146409
