"itaee_c","Q1","Q2","Q3","Q4","itaee_log","itaee_c1","itaee_c2","inpc_general_c1","desocup","ied_mxp_log","usindpro_log","pibp12mes_e","gtopgj_pc"
"2006Q4",7.3453900789,1,0,0,1,2.0589224032,6.1456894462,3.9447354057,3.10235286,4.9540098351,2.6465873579,1.9822059332,3.7396774194,6.8323954164
"2007Q1",8.7233511688,1,0,0,0,2.0453997589,9.6280248466,6.1456894462,4.2834409101,4.9112744186,2.6134968834,1.9862640145,3.635483871,6.546490462
"2007Q2",5.7705811511,1,1,0,0,2.0608547658,9.4721842939,9.6280248466,4.0602196169,4.5514658784,2.4056786573,1.9890164937,3.5044117647,6.5440590056
"2007Q3",6.1770861042,1,0,1,0,2.0715218093,9.5314644115,9.4721842939,4.252404209,4.7455321318,2.3683434487,1.9905856842,3.4184848485,6.5416275493
"2007Q4",2.4926885981,1,0,0,1,2.0897058017,7.3453900789,9.5314644115,4.6755380237,4.5610862575,2.5177148213,1.9912381885,3.4645454545,6.539196093
"2008Q1",-2.9404890647,1,0,0,0,2.0817225891,8.7233511688,7.3453900789,4.615760938,5.1377483843,2.4525118623,1.9952639116,3.3674193548,6.4069733062
"2008Q2",5.0845539988,1,1,0,0,2.0852196564,5.7705811511,8.7233511688,4.1201803212,4.3260124118,2.8780079621,2.0004022599,3.4309090909,6.4045418499
"2008Q3",1.8537554276,1,0,1,0,2.0975526118,6.1770861042,5.7705811511,4.360548569,4.6767493743,2.6660930054,2.0016301734,3.508125,6.4021103936
"2008Q4",-1.9588955787,1,0,0,1,2.1003986874,2.4926885981,6.1770861042,4.2785575166,5.4139395948,2.8739523223,2.0026664724,3.4925806452,6.3996789373
"2009Q1",-6.9661522663,1,0,0,0,2.0687606877,-2.9404890647,2.4926885981,3.3076025219,5.3902195253,3.7043190375,2.0011658174,3.7710322581,6.4644897385
"2009Q2",-10.1864495322,1,1,0,0,2.1067585417,5.0845539988,-2.9404890647,4.1492052644,5.1808430006,-3.2016507462,1.9949860463,3.6216129032,6.4620582822
"2009Q3",-3.8576262265,1,0,1,0,2.1055296582,1.8537554276,5.0845539988,4.6335077901,5.2706114088,2.6054904752,1.9809775837,3.3943333333,6.4596268259
"2009Q4",4.9501071585,1,0,0,1,2.0918068823,-1.9588955787,1.8537554276,5.1171533611,5.9349631567,2.9600208309,1.9621678495,3.3303225806,6.4571953695
"2010Q1",11.0319743861,1,0,0,0,2.0374016708,-6.9661522663,-1.9588955787,5.4908273648,7.0461457753,3.7819555598,1.9381628367,3.3909705882,6.6018901787
"2010Q2",7.2297889081,1,1,0,0,2.0601004068,-10.1864495322,-6.9661522663,5.713640187,7.0967144695,3.1355679982,1.9255821091,3.2456,6.5994587224
"2010Q3",6.1841868293,1,0,1,0,2.0884444989,-3.8576262265,-10.1864495322,4.9204045569,7.8658809451,2.5223579169,1.9307898116,2.51125,6.5970272661
"2010Q4",3.0245177881,1,0,0,1,2.1127897687,4.9501071585,-3.8576262265,3.0037421594,7.447088045,-3.3770850561,1.9376952178,-0.11,6.5945958098
"2011Q1",3.0666346834,1,0,0,0,2.0828497334,11.0319743861,4.9501071585,4.1722570491,7.3773264393,3.6419342172,1.9465121974,1.6203225806,6.8005808724
"2011Q2",3.7890738031,1,1,0,0,2.0904158578,7.2297889081,11.0319743861,3.0177375439,6.8186363373,-2.7744310504,1.9555549889,2.0466666667,6.7981494161
"2011Q3",5.2379688051,1,0,1,0,2.1145043444,6.1841868293,7.2297889081,3.0621974641,6.3340052278,2.9850696745,1.9621133564,2.8206896552,6.7957179598
