"cte","Q2","Q3","Q4","itaee_log","itaee_c1","itaee_c2","inpc_general_c1","desocup","ied_mxp_log","usindpro_log","pibp12mes_e","gtopgj_pc"
"2006Q4",417.611299042277,2.84661934134154,3.91995104950376,2.49550109007736,-249.049648960357,-0.00445388850035394,-0.0208357090054793,-0.369223655004465,1.62015924618396,0.529983606546224,34.7122011616454,-0.586829685698057,3.57939129182315
"2007Q1",431.408583535794,2.85874824292096,3.93959972040956,2.27722870206786,-256.536056502277,0.036577398250111,-0.0322944025239729,-0.218416113790565,1.55885315512312,0.611247879966588,36.0433650147965,-0.804350614950934,3.41709455083703
"2007Q2",426.265056941319,2.78127853594644,3.8586197894581,2.33716578466687,-251.815180190608,0.0118639217680308,-0.0229799422222484,-0.342535466609292,1.48092566324639,0.561342201957676,33.7741496400283,-0.678959368955066,3.4808915073341
"2007Q3",410.346891259308,2.63307754785215,3.59665776757506,2.5692202566272,-242.186683714188,-0.0404063363485101,-0.0134154037293283,-0.586254338225761,1.44253673041234,0.418490304076331,31.1238020113792,-0.328680807741989,3.75718337503614
"2007Q4",440.419706704742,2.83506161201229,3.81136851559377,2.10310797456683,-253.992587580129,0.00324324782062342,-0.0247762856893605,-0.345292841122075,1.6765619014118,0.604022759906976,29.5832165475934,-0.795727722212806,3.23868153758566
"2008Q1",431.232187992326,2.82410984230156,3.74290203860018,2.04625867257912,-255.064968036825,0.016957769149504,-0.0342939373191013,-0.237707795146838,1.64263885310157,0.544114796214658,35.1272202585315,-0.896879572265237,3.30086757857105
"2008Q2",432.354609993246,3.16686998731018,3.95572052535299,1.86934165366557,-263.227187420156,0.05613618634237,-0.0429753085134782,0.0942304223953154,1.90607567725703,0.684889770131539,43.0386254902851,-1.24714227136206,3.10152931894715
"2008Q3",413.713081731206,2.92289572082408,3.72952195847291,2.17256646414956,-250.500917167834,0.000765811437131698,-0.0270396756128454,-0.2286612209986,1.731199997923,0.549164791514052,38.3115893450373,-0.721324683679057,3.48200003932541
"2008Q4",413.342914445995,2.92607111725347,3.73494154013059,2.1744509350223,-250.804103099166,0.00191147190303807,-0.0275934212611154,-0.218401692406554,1.72748276111969,0.554912683281909,38.8199378654235,-0.737248252878259,3.48105433285518
"2009Q1",416.285797880379,3.0394651739749,3.83703668529861,2.15594889635757,-255.008315637153,0.0254000617803254,-0.0316966680126714,-0.0922769384498203,1.70000699046248,0.583468134419455,41.688663658225,-0.885928389355528,3.45404424959616
"2009Q2",417.866821479298,2.91978985827393,3.83678467810258,2.23767469414122,-255.275433562526,0.0118918238934137,-0.0221159545676291,-0.177740975018234,1.63641049774469,0.557226923463957,40.7634982765056,-0.750790279501747,3.60142973337371
"2009Q3",416.726693524666,2.91764517014284,3.83284136521299,2.22074695636365,-255.066121678067,0.014270112117914,-0.0256589679043284,-0.14868403413652,1.63919210847583,0.573563478414841,41.1750932234341,-0.780224316776715,3.57774193093503
"2009Q4",426.886786865292,2.9485761575103,3.8676079111555,2.2065562346088,-256.128766157969,0.0263025392652909,-0.0259385731515081,-0.100816075218851,1.75569000679802,0.63800391599162,37.4361444300582,-0.801620007489087,3.40745292975405
"2010Q1",438.870229194963,3.22983327001148,4.06501571551296,2.09857997870023,-266.569137016876,0.0736040386136539,-0.0529308291703021,0.10784572183767,1.77147735044573,0.64559517298559,43.1097847046092,-1.23950716289726,3.14025221386483
"2010Q2",431.900258129351,3.0522907299432,3.9720095044125,2.24914294658177,-259.863126122671,0.0376825404347651,-0.0311549442644618,-0.139534521010947,1.74978819769945,0.60235777641223,39.2160137621089,-0.90821771940624,3.32891997695436
"2010Q3",432.226677751342,2.97908956694069,3.97774812183289,2.3629295376438,-256.060045433161,0.015789653916474,-0.0323913551800545,-0.268937255256547,1.73586634290018,0.555059647674969,34.8556903819329,-0.694586068530965,3.41392102502191
"2010Q4",441.164237049012,3.08400667603787,4.06926814371743,2.20151602243479,-261.661958987734,0.0421925795941096,-0.0405980979909867,-0.0969444059498734,1.80998017901972,0.626454612995525,36.8937939968578,-1.02773322634179,3.17351801217035
"2011Q1",430.801293407065,2.93834397313329,3.95041783484637,2.39880613452656,-254.13138995164,0.00806266271728488,-0.026706827453079,-0.308649816909229,1.70324407272809,0.553116020048505,33.714704892758,-0.69408843233553,3.41609206014739
"2011Q2",432.116892474603,2.95293356295713,3.96803485867295,2.36746338103575,-255.019126616855,0.0130937874250134,-0.0284351941082607,-0.274369308995675,1.71610532211145,0.569612461999628,34.0719187296716,-0.742335549037319,3.37499080569271
"2011Q3",408.387440330155,2.71401302870323,3.79718096375005,2.64285295238535,-242.182659736718,-0.0349794114653167,-0.010893176660288,-0.547211292969093,1.53116450156418,0.465779231187817,31.7839074537284,-0.305238323126225,3.77202048975362
