"itaee_c","Q1","Q2","Q3","Q4","itaee_log","itaee_c1","itaee_c2","inpc_general_c1","desocup","ied_mxp_log","usindpro_log","pibp12mes_e","gtopgj_pc"
"2006Q4",1.7347214385,1,0,0,1,2.0343065055,3.7484099899,4.7315303891,2.2510624277,2.5167979632,-1.8815519398,1.9822059332,3.7396774194,6.5371694923
"2007Q1",2.3358853996,1,0,0,0,2.0243435151,2.5522602301,3.7484099899,2.3893687158,2.517738289,-2.2445640159,1.9862640145,3.635483871,6.5503807699
"2007Q2",4.6311312956,1,1,0,0,2.0260149829,3.3904554682,2.5522602301,1.8260194609,2.5322432592,2.7662033742,1.9890164937,3.5044117647,6.5481630999
"2007Q3",3.6292008186,1,0,1,0,2.0301728188,0.3210971378,3.3904554682,2.6992903042,2.8861555836,2.0638126194,1.9905856842,3.4184848485,6.54594543
"2007Q4",1.2087016056,1,0,0,1,2.0417757058,1.7347214385,0.3210971378,3.5407194987,3.1947574657,3.4597379143,1.9912381885,3.4645454545,6.54372776
"2008Q1",-2.1388224244,1,0,0,0,2.0343714665,2.3358853996,1.7347214385,3.7618812077,3.2078209425,3.7095333587,1.9952639116,3.3674193548,6.6721031511
"2008Q2",-2.6413459735,1,1,0,0,2.045675904,4.6311312956,2.3358853996,3.7377140552,3.2009247364,-2.3708768633,2.0004022599,3.4309090909,6.6698854811
"2008Q3",-3.6734174206,1,0,1,0,2.0456549677,3.6292008186,4.6311312956,3.5061152424,3.0590613355,-2.1068796544,2.0016301734,3.508125,6.6676678111
"2008Q4",-4.9125884108,1,0,0,1,2.0469935592,1.2087016056,3.6292008186,2.9751014835,3.6948179283,2.3722695686,2.0026664724,3.4925806452,6.6654501411
"2009Q1",-5.1027908615,1,0,0,0,2.0249819038,-2.1388224244,1.2087016056,2.7928699962,3.2218590474,3.1062618159,2.0011658174,3.7710322581,6.7495068946
"2009Q2",-2.9331705625,1,1,0,0,2.0340504652,-2.6413459735,-2.1388224244,4.2442972285,2.653070631,-1.823395973,1.9949860463,3.6216129032,6.7472892246
"2009Q3",1.1442408001,1,0,1,0,2.0294011207,-3.6734174206,-2.6413459735,4.6458584982,2.7787492285,1.8431161734,1.9809775837,3.3943333333,6.7450715546
"2009Q4",5.8855200888,1,0,0,1,2.0251165847,-4.9125884108,-3.6734174206,5.2187247254,3.3821288138,2.3071061088,1.9621678495,3.3303225806,6.7428538846
"2010Q1",5.9488079239,1,0,0,0,2.0022353441,-5.1027908615,-4.9125884108,5.2852973355,3.7063596051,1.3485156155,1.9381628367,3.3909705882,6.8284643561
"2010Q2",10.0515464225,1,1,0,0,2.0211213094,-2.9331705625,-5.1027908615,5.3745911093,3.1534979648,-2.6387280622,1.9255821091,3.2456,6.8262466861
"2010Q3",1.6371746925,1,0,1,0,2.0343422795,1.1442408001,-2.9331705625,4.7907074209,4.3026864377,-1.8911105142,1.9307898116,2.51125,6.8240290161
"2010Q4",4.169432954,1,0,0,1,2.0499531588,5.8855200888,1.1442408001,3.340632469,4.4044822129,-2.4008658175,1.9376952178,-0.11,6.8218113461
"2011Q1",5.1767514826,1,0,0,0,2.0273314188,5.9488079239,5.8855200888,4.3039817675,4.210553306,-2.4422221571,1.9465121974,1.6203225806,6.326059177
"2011Q2",3.6945982172,1,1,0,0,2.0627174589,10.0515464225,5.9488079239,3.4710069442,4.0973990849,-1.335574522,1.9555549889,2.0466666667,6.323841507
"2011Q3",3.9731923651,1,0,1,0,2.0413948636,1.6371746925,10.0515464225,2.9405691713,4.2810192582,-2.0998769553,1.9621133564,2.8206896552,6.321623837
