"cte","Q2","Q3","Q4","itaee_log","itaee_c1","itaee_c2","inpc_general_c1","desocup","ied_mxp_log","usindpro_log","pibp12mes_e","gtopgj_pc"
"2006Q4",534.349893493973,10.1186857763571,15.3167621858176,23.7783532567403,-424.239916271453,0.0586970087263014,-0.0343898081360138,1.83224893346455,-1.51818077816444,3.37430361983104,131.639552558257,-0.766177308988731,7.58432564612596
"2007Q1",526.640789381986,10.2571362799825,15.3907731367309,23.984762049376,-423.699085086103,0.0607752971310673,-0.0248167025825242,1.75272324891969,-1.38554299506275,2.82670401862546,135.53536172216,-0.603949012364295,7.57218230092364
"2007Q2",529.069836147691,10.2442641464968,15.3643259762735,23.9123215506556,-423.704748695149,0.0591757684902992,-0.0268176170230383,1.75693622845241,-1.4288278452417,2.9901755785194,133.958483587683,-0.663055993784458,7.64108937304446
"2007Q3",536.662209044064,10.128493561532,15.3480773523682,23.7193242581179,-423.389950394316,0.0623034570793773,-0.0345577103659842,1.83835691615009,-1.5494214750517,3.44144041294596,128.966269100528,-0.792427576277952,7.74149306804782
"2007Q4",531.125992082174,10.206996772846,15.3768854986035,23.8306707901054,-422.825805327606,0.0610012298960674,-0.0271286232059947,1.76472868749245,-1.45722409549476,3.04891261073323,131.539399775466,-0.67985594650698,7.7583039573031
"2008Q1",572.49716174791,9.71158561470748,15.1182211276227,23.0516555222498,-425.381212941613,0.0698361274383102,-0.0507869230440561,2.13778710947851,-1.87176480869347,5.02096042238701,118.467508250152,-1.22878025733613,5.83353392861885
"2008Q2",528.980460678734,10.4830047686104,15.4382618879945,24.0704068061683,-423.434851382099,0.0644776255919643,-0.00771776785905973,1.72790097823651,-1.27486313206559,2.06866331335042,139.656598608555,-0.46410454037917,6.36653226719362
"2008Q3",536.974845107448,10.3391726111272,15.3837796356324,23.8585622268237,-424.601358067766,0.0644712502276175,-0.0220045338031837,1.82903891755038,-1.41673859813189,2.79747027641703,136.455574167905,-0.64221340260851,6.24578561386939
"2008Q4",531.291686093188,10.3620173233921,15.428669203488,23.9611224085664,-426.232724255373,0.0626110549073526,-0.0273655067756207,1.8249055033198,-1.40453026664859,2.85416299353645,139.943295375486,-0.632364103179138,6.48805258279986
"2009Q1",562.225474802363,10.3331454810429,15.5217049836411,23.8339282154196,-428.471176845123,0.0706595400219374,-0.0269466901956567,2.10196268388984,-1.65134054473126,3.68557122515626,128.998680584509,-0.929464503162922,5.61475427430625
"2009Q2",557.054897637086,10.3241867762344,15.7777499364527,24.2348007524217,-437.397739707045,0.0701126077766796,-0.0510045846508711,2.16082061859882,-1.7031127051272,4.10271522212007,136.325163768767,-0.956050385903966,6.60265095725425
"2009Q3",532.622611029528,10.4240545628468,15.6130837698055,24.4187438686044,-434.275799175533,0.0672142698888889,-0.0400681103112159,1.77706584497558,-1.39470050127618,3.16205183284651,143.913932435392,-0.591354900729875,7.2815290865582
"2009Q4",543.031656195334,10.3700214658584,15.4751318808907,24.2344791208681,-428.714224340765,0.0714080559584879,-0.0201749293860491,1.79723578209949,-1.38811940823269,2.89213211818779,135.714793843232,-0.565379377292026,6.64975705582819
"2010Q1",550.233067064374,10.3023141855394,15.4556283698933,24.092576221993,-429.114247041976,0.0740887429775979,-0.0295051059279662,1.88426406803354,-1.50294546987525,3.32822650614359,132.654472747107,-0.723697071114832,6.50160938352133
"2010Q2",547.506375480166,10.3110225916754,15.4543892277343,24.1144947282889,-428.623648805361,0.0729440680771295,-0.0257204725594007,1.85455736515886,-1.47030571623478,3.20435195745651,133.546090128412,-0.69008112446219,6.5329705269709
"2010Q3",538.917967989829,10.3551024078732,15.5094822034782,24.2114450442377,-428.09394339821,0.0731671075463493,-0.0312657866789683,1.74888296749696,-1.38037633921088,2.85040573317023,136.538735623371,-0.558389552479728,6.84692616895424
"2010Q4",553.246727753119,10.2131781657194,15.399622398849,23.9352966713013,-426.89038334635,0.0717142635638671,-0.0321715914153761,1.83218013524716,-1.51181587041453,3.3629798375363,129.835449444638,-0.75959846580201,6.27893413179437
"2011Q1",549.723388514223,10.2617679610573,15.4207596187083,24.0138913078888,-426.484876162851,0.0722217789701567,-0.0277632477727007,1.79035753918446,-1.45427057416383,3.12635896000044,131.223643388217,-0.681667081203559,6.33062547871347
"2011Q2",536.478368781381,10.3918748839531,15.4788830436355,24.2598665395458,-425.274734417902,0.0637208725548415,-0.0148711554821047,1.63791189999334,-1.29609612809791,2.30585503210509,136.442145503381,-0.480139154254475,6.6552393410574
"2011Q3",540.970867261106,10.3777991402068,15.4730899143438,24.2126619044477,-424.889675182598,0.065552339296479,-0.011215724378364,1.65668740132649,-1.31050617912841,2.35299952368084,134.63091950842,-0.506171553903575,6.42071753912312
