"itaee_c","Q1","Q2","Q3","Q4","itaee_log","itaee_c1","itaee_c2","inpc_general_c1","desocup","ied_mxp_log","usindpro_log","pibp12mes_e","gtopgj_pc"
"2006Q4",7.5628687212,1,0,0,1,2.0742289313,2.7207455516,3.0474162579,3.1759764359,2.3504506523,3.2827855118,1.9822059332,3.7396774194,7.1389809063
"2007Q1",6.875065408,1,0,0,0,2.0636094785,4.599157168,2.7207455516,3.8435328351,2.2721532235,3.4266938012,1.9862640145,3.635483871,7.1339944315
"2007Q2",6.173133712,1,1,0,0,2.0851671736,9.9404682676,4.599157168,2.7754788916,2.0158489998,2.9193194397,1.9890164937,3.5044117647,7.1290079567
"2007Q3",10.5580845062,1,0,1,0,2.0772885805,7.8969261606,9.9404682676,2.7193872623,2.1332144924,2.7698940179,1.9905856842,3.4184848485,7.1240214818
"2007Q4",6.5071789635,1,0,0,1,2.1058913077,7.5628687212,7.8969261606,3.3001183812,1.8757053933,2.8489440317,1.9912381885,3.4645454545,7.119035007
"2008Q1",4.9055770357,1,0,0,0,2.0924858721,6.875065408,7.5628687212,3.7328850511,1.8537206127,2.9724806856,1.9952639116,3.3674193548,7.1140485322
"2008Q2",6.7384477352,1,1,0,0,2.1111818094,6.173133712,6.875065408,3.6932844765,1.894264167,3.1326682255,2.0004022599,3.4309090909,7.1090620573
"2008Q3",0.3067257677,1,0,1,0,2.1208790861,10.5580845062,6.173133712,3.9688218777,2.075860167,2.8052545451,2.0016301734,3.508125,7.1040755825
"2008Q4",0.8869592717,1,0,0,1,2.1332701895,6.5071789635,10.5580845062,4.0907055723,2.3391047125,3.2158584754,2.0026664724,3.4925806452,7.0990891076
"2009Q1",2.0080661819,1,0,0,0,2.113284449,4.9055770357,6.5071789635,4.1619300308,2.509988938,2.8476714045,2.0011658174,3.7710322581,7.0941026328
"2009Q2",-0.224550437,1,1,0,0,2.1395026921,6.7384477352,4.9055770357,5.4769821887,2.7343271252,3.2077012773,1.9949860463,3.6216129032,7.089116158
"2009Q3",4.6049218226,1,0,1,0,2.1222091404,0.3067257677,6.7384477352,5.7329777652,2.9053107093,3.0213437341,1.9809775837,3.3943333333,7.0841296831
"2009Q4",0.3287851682,1,0,0,1,2.1371052221,0.8869592717,0.3067257677,5.8633797332,4.1858135274,2.7360791517,1.9621678495,3.3303225806,7.0791432083
"2010Q1",2.8496695139,1,0,0,0,2.1219189635,2.0080661819,0.8869592717,6.5056035367,5.0410527023,2.6997760903,1.9381628367,3.3909705882,6.8311056478
"2010Q2",1.5724411038,1,1,0,0,2.1385263854,-0.224550437,2.0080661819,7.1185915523,5.0592934695,3.0017968486,1.9255821091,3.2456,6.8261191729
"2010Q3",-0.5793465705,1,0,1,0,2.1417612597,4.6049218226,-0.224550437,6.7063647101,5.6543417628,2.4223726434,1.9307898116,2.51125,6.8211326981
"2010Q4",0.5717806587,1,0,0,1,2.1385307757,0.3287851682,4.6049218226,5.4689298443,6.1571498371,2.9158909648,1.9376952178,-0.11,6.8161462233
"2011Q1",3.0432836015,1,0,0,0,2.134121864,2.8496695139,0.3287851682,4.766624586,5.4545577024,2.3197943291,1.9465121974,1.6203225806,6.8206576633
"2011Q2",4.1838265482,1,1,0,0,2.1453022754,1.5724411038,2.8496695139,2.9347990703,5.456557284,1.7710640808,1.9555549889,2.0466666667,6.8156711885
"2011Q3",4.2004707292,1,0,1,0,2.1392378728,-0.5793465705,1.5724411038,2.0375149914,5.7383786823,3.1827023507,1.9621133564,2.8206896552,6.8106847137
