"itaee_c","Q1","Q2","Q3","Q4","itaee_log","itaee_c1","itaee_c2","inpc_general_c1","desocup","ied_mxp_log","usindpro_log","pibp12mes_e","gtopgj_pc"
"2006Q4",16.5484168939,1,0,0,1,2.0318114851,-1.7252720984,9.9131856717,3.7048092187,2.5736160398,2.9794103413,1.9822059332,3.7396774194,6.9911455491
"2007Q1",12.8828784361,1,0,0,0,2.0639555407,1.5599803217,-1.7252720984,4.9445707741,2.5992050318,2.8766062189,1.9862640145,3.635483871,5.8335540919
"2007Q2",14.7396575914,1,1,0,0,2.0740849241,-1.1443796231,1.5599803217,4.1337119857,2.742224209,2.9347998445,1.9890164937,3.5044117647,5.8300124494
"2007Q3",6.3736476201,1,0,1,0,2.0876442469,3.8534676749,-1.1443796231,4.1043266695,2.8748717685,3.0625301842,1.9905856842,3.4184848485,5.826470807
"2007Q4",3.8993387398,1,0,0,1,2.0983178639,16.5484168939,3.8534676749,4.5484312504,2.7262885105,3.034139795,1.9912381885,3.4645454545,5.8229291645
"2008Q1",2.4849954117,1,0,0,0,2.1165836158,12.8828784361,16.5484168939,3.836731517,2.614977695,3.2331194708,1.9952639116,3.3674193548,6.6500915548
"2008Q2",0.5144709352,1,1,0,0,2.1337984736,14.7396575914,12.8828784361,2.233262087,2.3814714519,3.3887507395,2.0004022599,3.4309090909,6.6465499124
"2008Q3",1.4865595487,1,0,1,0,2.1144782986,6.3736476201,14.7396575914,2.1261071579,2.7129704078,3.1694838819,2.0016301734,3.508125,6.6430082699
"2008Q4",0.5318929127,1,0,0,1,2.1149306474,3.8993387398,6.3736476201,2.6214587919,2.8270056015,3.596020583,2.0026664724,3.4925806452,6.6394666274
"2009Q1",-7.1000745422,1,0,0,0,2.1272439018,2.4849954117,3.8993387398,3.4609109511,2.6821947126,2.6743205706,2.0011658174,3.7710322581,6.6845448375
"2009Q2",-15.1464599666,1,1,0,0,2.1360270647,0.5144709352,2.4849954117,5.109540257,2.8346562422,2.8795005696,1.9949860463,3.6216129032,6.681003195
"2009Q3",-7.183299242,1,0,1,0,2.1208868285,1.4865595487,0.5144709352,5.9719807543,3.4472583378,2.4186185776,1.9809775837,3.3943333333,6.6774615525
"2009Q4",-6.0819948101,1,0,0,1,2.1172345074,0.5318929127,1.4865595487,6.5286262755,3.9212892201,2.4736014169,1.9621678495,3.3303225806,6.6739199101
"2010Q1",1.3464702675,1,0,0,0,2.0952592674,-7.1000745422,0.5318929127,8.0838998134,3.5840461949,2.6242636783,1.9381628367,3.3909705882,6.7029481968
"2010Q2",10.7436395932,1,1,0,0,2.0646970302,-15.1464599666,-7.1000745422,7.6897045309,4.3504539118,2.7497934692,1.9255821091,3.2456,6.6994065543
"2010Q3",5.0022701914,1,0,1,0,2.0885129556,-7.183299242,-15.1464599666,6.1075994159,6.1507459207,2.8991713546,1.9307898116,2.51125,6.6958649118
"2010Q4",7.5110070194,1,0,0,1,2.089983367,-6.0819948101,-7.183299242,5.3811605837,5.8102359353,2.4861011827,1.9376952178,-0.11,6.6923232694
"2011Q1",5.7189381807,1,0,0,0,2.1010678949,1.3464702675,-6.0819948101,3.7677266131,4.9243462779,2.0059647362,1.9465121974,1.6203225806,6.7231930401
"2011Q2",4.2594738244,1,1,0,0,2.1090158227,10.7436395932,1.3464702675,2.7101433426,5.1873435309,1.5432567149,1.9555549889,2.0466666667,6.7196513976
"2011Q3",6.8435370293,1,0,1,0,2.1097116443,5.0022701914,10.7436395932,2.9087906223,4.8155410342,2.5337571689,1.9621133564,2.8206896552,6.7161097552
