"cte","Q2","Q3","Q4","itaee_log","itaee_c1","itaee_c2","inpc_general_c1","desocup","ied_mxp_log","usindpro_log","pibp12mes_e","gtopgj_pc"
"2006Q4",703.62160633469,1.99200539151057,5.65596588575577,1.85430537941428,-55.0136222369212,-0.310164291589306,0.122764948128364,-2.51357747221011,-5.2929856156654,0.529092910459508,-215.075670849212,-1.16232637646972,-20.6523019670987
"2007Q1",698.045823700644,1.9726999770225,5.66990113713581,1.87874803425369,-51.9302096294786,-0.303533320935076,0.0946496052581602,-2.55503073308485,-5.11158308341623,0.521523324572672,-213.546345956033,-0.986531018234687,-21.3969423949189
"2007Q2",684.676662741739,1.85848848794389,5.89442834173288,1.86512775261068,-45.0807904642571,-0.324665948006063,0.0896159540427019,-2.60554329794278,-5.09038271514811,0.466131761263155,-212.962100148943,-0.939043184032753,-21.6765266601658
"2007Q3",673.074207999924,1.89812309416821,6.16974591067895,1.88433287903635,-41.8561241556641,-0.362928638146541,0.120193786106954,-2.6175701076113,-5.40420786494254,0.531357723244134,-214.57070334632,-1.18882533869953,-20.1265690113444
"2007Q4",700.364462283488,1.82907456993925,5.52215408979518,1.92812232194106,-50.3923033304378,-0.283984668823228,0.0830100416788415,-2.53494898224301,-4.94482045867489,0.450427567995424,-213.855370017099,-0.830976544282672,-22.3238420228195
"2008Q1",693.943124901613,1.87176245452323,5.77915495695638,1.94264875152028,-48.8266523667309,-0.315547548600117,0.111757661693097,-2.54145997196499,-5.22961658117993,0.499237166770807,-215.262593844793,-1.06599782465969,-21.1335476513493
"2008Q2",713.67901849983,2.05360159703774,5.24676222295132,1.89488435907871,-63.3914885411736,-0.283645321233602,0.150947458769899,-2.36166648300903,-5.29394800113485,0.535929650521772,-214.002656370217,-1.2584042059399,-19.9267664915158
"2008Q3",687.544559950328,1.9817512467122,5.47470562965562,1.8945584624146,-49.331839111807,-0.30287632207957,0.0822500447562247,-2.55829059926514,-4.85584361041111,0.499277449179988,-209.499177386538,-0.814196120020128,-22.0510143442268
"2008Q4",688.496553014969,2.01290890585123,5.63765659943145,1.93807396240503,-50.0274982325685,-0.319681202008161,0.113754185936922,-2.52937134896043,-5.14091887175052,0.528067548316302,-211.606000335552,-1.05271174153613,-21.0902313066768
"2009Q1",687.434523776156,2.02064588253609,5.66847696520421,1.93263160536632,-50.0614605024501,-0.326120390627965,0.121373449110631,-2.52584578156688,-5.19773159821062,0.535492613097419,-211.771926205743,-1.10500386461075,-20.810260426438
"2009Q2",692.853459713492,2.01225074341749,5.54411808391413,1.92607490662991,-52.3440780591615,-0.311054000448481,0.117561873453333,-2.49809152437134,-5.14095014566229,0.517470540987054,-211.659861316679,-1.06815070300248,-21.0202764941957
"2009Q3",684.921977329319,2.03448872670903,5.80486891141,1.9564782125974,-48.3206824093391,-0.33921818879754,0.128291654504187,-2.55200650361928,-5.3256396575233,0.568236644305539,-213.15404606777,-1.18778522654829,-20.4347521575466
"2009Q4",678.706502425822,1.98320647551407,5.81973934856766,1.80432166522554,-43.6527848729317,-0.338506595050737,0.0914243420557508,-2.65967182658337,-5.07143812792914,0.45824060418745,-210.432611208764,-0.966054138844901,-21.9349758485033
"2010Q1",695.140802503887,1.93905461664071,5.41617295230699,1.76257273749441,-49.8477805499947,-0.298682316219976,0.0818126556814587,-2.59212745967587,-4.86835112749108,0.402450317719944,-210.448749601995,-0.819550459744377,-22.7139488582501
"2010Q2",682.10606072885,2.01151864563667,5.92023939595997,1.86996212762284,-40.3624170352517,-0.329774099060334,0.0625636544254633,-2.6939897201782,-5.00805151773573,0.489920153527769,-213.45060199473,-0.798813439831933,-22.6952000514948
"2010Q3",740.781541397013,2.1288560602268,4.99658670590137,1.80776785753773,-71.3826315079992,-0.255914954698455,0.177628098630715,-2.27830312779561,-5.51352882487243,0.445204573313127,-219.152983157382,-1.42541025436237,-19.8414186004527
"2010Q4",694.609609696889,2.13259097042168,5.78434822399267,1.85469504778563,-51.0613303021081,-0.34606018960336,0.149101825563762,-2.53395676963244,-5.53221933823989,0.501031752926483,-215.363720938793,-1.38657866297813,-20.1700322222558
"2011Q1",690.669941350179,2.06842869568734,5.68180806069556,1.85083497778757,-47.4534525543042,-0.328817637134098,0.104032538283139,-2.59564759583786,-5.18570163734285,0.46135582201573,-212.942456754257,-1.06757618376591,-21.7448212374766
"2011Q2",716.481464992837,2.02956024623564,5.19187855685783,1.88584884807168,-63.1044717342559,-0.27997166095079,0.106406861447703,-2.39473154871527,-5.21782947931169,0.499264502723851,-211.964959627856,-1.12279575004563,-21.1514426729742
"2011Q3",763.365922791651,2.43471812108136,5.58855128172051,1.84841740840488,-97.0528041925443,-0.364269258192659,0.451869347009014,-1.89828249024488,-7.54608246109615,0.747864733305712,-232.51959572779,-3.33109115477048,-9.33376722105823
