"itaee_c","itaee_yfilt_ma","itaee_Qfilt_ma","itaee_yfilt_ma.one","itaee_Qfilt_ma.one","itaee_yfilt_ma.two","itaee_Qfilt_ma.two"
"2006Q4",7.5628687212,8.28429177546422,1.40773325398934,8.28940697553976,1.41157725118703,8.2665523690298,1.39432025144878
"2007Q1",6.875065408,7.33241704928133,1.35612433369575,7.3396986579313,1.3609795801937,7.30661800518526,1.33878028783176
"2007Q2",6.173133712,7.00994606210706,1.28727035625461,7.01911066994299,1.29135400083484,6.97836937399614,1.2730998310469
"2007Q3",10.5580845062,8.51939675300368,1.36364137499819,8.47179683758963,1.37245239926593,8.66491003200485,1.33634580807113
"2007Q4",6.5071789635,5.46483277582871,1.41258834045785,5.46721655028097,1.41731476157325,5.45607621621637,1.3950888601535
"2008Q1",4.9055770357,5.67719415702649,1.33662819297138,5.66968516004535,1.33983134757496,5.70530241345495,1.32456913223864
"2008Q2",6.7384477352,4.81885158965256,1.28390152868266,4.81994570418816,1.28644206167077,4.81474655494709,1.27432449194627
"2008Q3",0.3067257677,2.85298593976969,1.30915686132726,2.91439898503126,1.31702995242349,2.67371308092925,1.28589855060372
"2008Q4",0.8869592717,1.09228000127697,1.45014679988184,1.08214468770458,1.45464427491087,1.12886174580355,1.43379655888123
"2009Q1",2.0080661819,2.48987141302747,1.40976908121182,2.4815150920514,1.41442897807199,2.52047760370215,1.3925684183994
"2009Q2",-0.224550437,-0.555757384711474,1.43483560441256,-0.543790002985542,1.43949967797986,-0.599671268212684,1.41758948968814
"2009Q3",4.6049218226,4.12017267246543,1.35616475457085,4.09791229950737,1.36059890631592,4.19442254845202,1.34126857193675
"2009Q4",0.3287851682,-0.00501962803032406,1.57040857734373,-0.000660359676558426,1.57636535649048,-0.0206712823383659,1.54883238727089
"2010Q1",2.8496695139,1.85048469372492,1.41482617395436,1.85639634946155,1.41873571579233,1.82861248944195,1.40026657952701
"2010Q2",1.5724411038,2.48743322252875,1.50294679542005,2.47766345215978,1.50546270319906,2.52478498391914,1.49328890161377
"2010Q3",-0.5793465705,0.211024900063997,1.31199701029482,0.234768862602279,1.31732169706678,0.129738383064008,1.29360221339116
"2010Q4",0.5717806587,0.816152971028595,1.44498216948783,0.805994428123197,1.4481166427276,0.852459758870475,1.43372350238244
"2011Q1",3.0432836015,1.84030845508115,1.380410539347,1.84651900765128,1.38316537410991,1.8167313746491,1.36990194333944
"2011Q2",4.1838265482,4.31797068322018,1.45172878060081,4.29533500532841,1.45447033951793,4.4016864211816,1.44154410599986
"2011Q3",4.2004707292,4.18014080530458,1.49291023740825,4.19053632382844,1.49643428889788,4.14367820353548,1.48048320776849
