"itaee_c","itaee_yhat.one","itaee_yhat.two","itaee_yfilt_ma","itaee_yfilt_ma.one","itaee_yfilt_ma.two"
"2006Q4",4.1504987935,4.40402852583108,4.40402852583108,5.54640053389577,5.58459766359971,5.41549692661108
"2007Q1",2.792545569,5.95638694628032,5.95638694628032,5.8441249557903,5.84205537885784,5.85165040331518
"2007Q2",2.5766905277,3.92170163357402,3.92170163357402,2.59187118848024,2.56390571840523,2.69232065804195
"2007Q3",1.2846568193,-0.0970238057405606,-0.0970238057405606,-1.15619706460159,-1.19856122374806,-1.0169738742859
"2007Q4",2.5917751921,-2.21691119041531,-2.21691119041531,-1.99859335236234,-1.99532897168967,-2.01098065301041
"2008Q1",3.5687038275,3.17888080483623,3.17888080483623,2.77834310869465,2.77306024724398,2.79696917976265
"2008Q2",3.038267657,0.0936123009211747,0.0936123009211747,0.466935981387341,0.476799291824151,0.430724498793616
"2008Q3",-0.6537255925,-1.85784681017621,-1.85784681017621,-2.22147259759797,-2.23078363592788,-2.18909510208395
"2008Q4",-6.7387636678,-5.73490958356401,-5.73490958356401,-5.35940766892478,-5.36039538168128,-5.35590780082159
"2009Q1",-9.0423874665,-7.63061834683497,-7.63061834683497,-6.88194092310063,-6.85731547201281,-6.96610207949129
"2009Q2",-13.0409628598,-11.6940748932641,-11.6940748932641,-10.7354403009358,-10.7093995448122,-10.8243492233675
"2009Q3",-8.7810284534,-6.85374672605523,-6.85374672605523,-6.51214894772368,-6.50855235769156,-6.52488868701041
"2009Q4",-1.9047502356,0.810175004091342,0.810175004091342,0.494308299802724,0.484026785369769,0.532108725828331
"2010Q1",0.5799278063,-1.75660737078252,-1.75660737078252,-1.23437913043755,-1.21879391688151,-1.29181649474493
"2010Q2",4.9184809621,4.41561278183027,4.41561278183027,5.17704767779308,5.19903785255048,5.0995307731223
"2010Q3",3.3336447509,3.95519553216043,3.95519553216043,4.47794102030005,4.48819772436377,4.44211794828112
"2010Q4",3.6882505566,4.52462788314428,4.52462788314428,3.40935022196676,3.37668390968821,3.52508894894216
"2011Q1",5.332982104,3.48372980714679,3.48372980714679,2.29294154237138,2.2509667867017,2.4296218507771
"2011Q2",5.309906806,6.06553127038371,6.06553127038371,5.3946771765683,5.37523696953619,5.46379734806493
"2011Q3",7.2462330343,7.28320236883157,7.28320236883157,8.56092359996551,8.60272221179319,8.41735695875143
