"itaee_c","itaee_yhat.one","itaee_yhat.two","itaee_yfilt_ma","itaee_yfilt_ma.one","itaee_yfilt_ma.two"
"2006Q4",5.537989948,6.6612426331015,6.6612426331015,7.15252748501666,7.1677620757674,7.09976921057716
"2007Q1",3.3976145906,2.92111240384691,2.92111240384691,3.41999473233678,3.43312568601377,3.37322946744477
"2007Q2",0.8887833779,0.766259746072447,0.766259746072447,1.71455511877127,1.74219808425925,1.61819604626155
"2007Q3",2.8002806954,4.59680735991081,4.59680735991081,3.13287507040364,3.11407542252467,3.2035277799295
"2007Q4",0.3682001789,-0.563234165465306,-0.563234165465306,-0.957247292543409,-0.964279308026602,-0.932547026986756
"2008Q1",3.3037436986,1.30866224163072,1.30866224163072,0.421620482856232,0.383375549121816,0.544681199811784
"2008Q2",1.3757161564,-1.48521191734821,-1.48521191734821,-2.10325717739682,-2.12255122594819,-2.03703898991386
"2008Q3",-1.087276605,-1.99138717029486,-1.99138717029486,-1.66773726173955,-1.66049800495173,-1.6938671303461
"2008Q4",-2.1449656362,-1.36874975077041,-1.36874975077041,-1.05463573255777,-1.0534925661266,-1.05872429823652
"2009Q1",-7.5962464021,-5.74141019770845,-5.74141019770845,-4.34568369103728,-4.28191391747085,-4.53825783602568
"2009Q2",-7.9826957103,-6.08155308104654,-6.08155308104654,-6.14949295611545,-6.15683169872995,-6.12158061880933
"2009Q3",-3.4534942197,-2.40735972243263,-2.40735972243263,-2.51815510023144,-2.51877134474055,-2.51594440710945
"2009Q4",-0.6969745109,-2.15337533610794,-2.15337533610794,-1.64756424570154,-1.63433408618171,-1.69696587287849
"2010Q1",5.3360463539,5.73519251992583,5.73519251992583,5.09005379425285,5.07167159042072,5.15550017139312
"2010Q2",6.1769182536,6.71812842937095,6.71812842937095,6.75293244397277,6.7531099267642,6.75230195105969
"2010Q3",4.6766249203,3.34364184212985,3.34364184212985,4.7333454275665,4.7597582127654,4.6349742374306
"2010Q4",5.5956837169,6.08405031596115,6.08405031596115,5.05895757274457,5.02375692006114,5.18327909742376
"2011Q1",2.9048966142,3.12249788753625,3.12249788753625,2.82579061067948,2.81523786853256,2.86282823048018
"2011Q2",0.9709306099,1.51202951052674,1.51202951052674,1.55532587115901,1.55109409201508,1.57023556012467
"2011Q3",3.0808841114,2.4753165929943,2.4753165929943,2.16006874502249,2.15941743227953,2.16235431093338
